# ------------------------------------------------------------------------------
#     name   network            latitude           longitude  useless      depth
# ------------------------------------------------------------------------------
      237A        TA           32.001499          -95.808403        0.        0.
      238A        TA           32.003399          -95.120300        0.        0.
      239A        TA           32.017899          -94.470703        0.        0.
      240A        TA           32.038700          -93.762604        0.        0.
      241A        TA           32.022701          -92.918800        0.        0.
      242A        TA           32.061699          -92.152100        0.        0.
      243A        TA           31.880301          -91.482697        0.        0.
      244A        TA           32.042198          -90.685600        0.        0.
      245A        TA           32.032200          -89.895798        0.        0.
      246A        TA           32.014301          -89.128601        0.        0.
      247A        TA           32.053001          -88.610199        0.        0.
      248A        TA           32.094002          -87.739304        0.        0.
      249A        TA           31.975201          -87.122498        0.        0.
      250A        TA           31.977800          -86.267700        0.        0.
      251A        TA           32.092899          -85.408997        0.        0.
      252A        TA           31.996201          -84.735703        0.        0.
      253A        TA           32.061199          -84.129402        0.        0.
      254A        TA           31.945700          -83.290497        0.        0.
      255A        TA           31.926300          -82.475800        0.        0.
      256A        TA           31.979900          -81.887802        0.        0.
      257A        TA           31.974600          -81.026100        0.        0.
      318A        TA           31.438999         -109.990700        0.        0.
      319A        TA           31.375700         -109.280899        0.        0.
      320A        TA           31.336901         -108.528397        0.        0.
      324A        TA           31.442499         -105.482803        0.        0.
      325A        TA           31.371099         -104.971199        0.        0.
      326A        TA           31.316500         -103.978600        0.        0.
      327A        TA           31.369101         -103.492302        0.        0.
      328A        TA           31.381800         -102.809700        0.        0.
      329A        TA           31.487000         -101.980797        0.        0.
      330A        TA           31.406300         -101.175201        0.        0.
      331A        TA           31.308500         -100.426598        0.        0.
      332A        TA           31.382900          -99.742302        0.        0.
      333A        TA           31.324900          -98.984100        0.        0.
      334A        TA           31.332500          -98.237900        0.        0.
      335A        TA           31.281900          -97.427101        0.        0.
      336A        TA           31.386999          -96.844299        0.        0.
      337A        TA           31.315901          -95.885399        0.        0.
      338A        TA           31.356701          -95.310600        0.        0.
      339A        TA           31.333099          -94.556000        0.        0.
      340A        TA           31.416700          -93.889603        0.        0.
      341A        TA           31.333401          -93.168098        0.        0.
      342A        TA           31.374701          -92.324898        0.        0.
      343A        TA           31.283899          -91.616898        0.        0.
      344A        TA           31.452700          -90.731796        0.        0.
      345A        TA           31.308001          -90.030899        0.        0.
      346A        TA           31.387600          -89.464897        0.        0.
      347A        TA           31.401699          -88.541199        0.        0.
      348A        TA           31.412901          -87.902298        0.        0.
      349A        TA           31.350401          -87.192398        0.        0.
      350A        TA           31.420700          -86.335297        0.        0.
      351A        TA           31.275299          -85.603600        0.        0.
      352A        TA           31.479300          -84.927399        0.        0.
      353A        TA           31.347401          -84.217201        0.        0.
      355A        TA           31.343800          -82.851799        0.        0.
      356A        TA           31.324699          -82.127502        0.        0.
      357A        TA           31.423901          -81.485497        0.        0.
      425A        TA           30.786200         -104.985703        0.        0.
      426A        TA           30.668900         -104.029297        0.        0.
      427A        TA           30.849800         -103.401802        0.        0.
      428A        TA           30.726299         -102.684700        0.        0.
      429A        TA           30.624800         -101.893799        0.        0.
      430A        TA           30.786600         -101.236198        0.        0.
      431A        TA           30.682400         -100.607903        0.        0.
      432A        TA           30.875500          -99.793701        0.        0.
      433A        TA           30.754400          -99.091003        0.        0.
      434A        TA           30.814199          -98.268997        0.        0.
      435B        TA           30.782700          -97.584999        0.        0.
      436A        TA           30.770201          -96.795998        0.        0.
      437A        TA           30.829201          -96.138603        0.        0.
      438A        TA           30.750000          -95.474098        0.        0.
      439A        TA           30.793699          -94.765999        0.        0.
      440A        TA           30.745600          -93.958702        0.        0.
      441A        TA           30.749800          -93.189796        0.        0.
      442A        TA           30.711901          -92.431396        0.        0.
      443A        TA           30.764200          -91.780899        0.        0.
      444A        TA           30.715300          -90.746300        0.        0.
      445A        TA           30.730301          -90.337997        0.        0.
      446A        TA           30.791201          -89.364502        0.        0.
      447A        TA           30.795200          -88.654198        0.        0.
      448A        TA           30.930901          -87.860802        0.        0.
      449A        TA           30.759600          -87.215103        0.        0.
      450A        TA           30.803801          -86.586304        0.        0.
      451A        TA           30.615999          -85.746696        0.        0.
      452A        TA           30.849199          -85.182999        0.        0.
      453A        TA           30.854099          -84.319702        0.        0.
      454A        TA           30.714500          -83.630203        0.        0.
      455A        TA           30.742201          -83.026001        0.        0.
      456A        TA           30.724800          -82.022301        0.        0.
      457A        TA           30.619900          -81.556297        0.        0.
      526A        TA           30.060900         -104.089798        0.        0.
      527A        TA           30.145599         -103.611900        0.        0.
      528A        TA           30.161501         -102.788002        0.        0.
      529A        TA           30.124599         -102.220398        0.        0.
      530A        TA           30.148899         -101.337898        0.        0.
      531A        TA           30.164499         -100.546402        0.        0.
      532A        TA           30.127800          -99.904900        0.        0.
      533A        TA           30.071800          -99.035103        0.        0.
      534A        TA           30.028400          -98.475304        0.        0.
      535A        TA           30.028999          -97.571098        0.        0.
      536A        TA           30.075600          -97.065201        0.        0.
      537A        TA           30.079901          -96.315498        0.        0.
      538A        TA           30.221901          -95.489998        0.        0.
      539A        TA           30.108400          -94.723602        0.        0.
      540A        TA           30.209299          -93.979599        0.        0.
      541A        TA           30.059601          -93.187500        0.        0.
      542A        TA           30.124701          -92.551300        0.        0.
      543A        TA           30.085600          -91.855698        0.        0.
      544A        TA           30.110001          -91.161201        0.        0.
      545A        TA           30.044100          -90.489403        0.        0.
      546A        TA           30.233000          -89.719101        0.        0.
      552A        TA           30.132700          -85.293800        0.        0.
      553A        TA           30.188999          -84.431702        0.        0.
      554A        TA           30.084101          -83.683601        0.        0.
      555A        TA           30.121201          -82.966599        0.        0.
      556A        TA           30.001499          -82.405701        0.        0.
      557A        TA           30.016001          -81.729103        0.        0.
      626A        TA           29.554001         -104.133499        0.        0.
      627A        TA           29.452801         -103.388702        0.        0.
      628A        TA           29.486200         -102.888496        0.        0.
      631A        TA           29.412300         -100.575897        0.        0.
      632A        TA           29.507099          -99.786301        0.        0.
      633A        TA           29.459101          -99.176598        0.        0.
      634A        TA           29.381500          -98.351501        0.        0.
      635A        TA           29.387699          -97.773598        0.        0.
      636A        TA           29.481001          -97.056999        0.        0.
      637A        TA           29.438999          -96.332397        0.        0.
      638A        TA           29.419300          -95.448097        0.        0.
      645A        TA           29.457300          -90.596603        0.        0.
      646A        TA           29.583200          -89.824501        0.        0.
      655A        TA           29.510700          -83.255203        0.        0.
      656A        TA           29.368900          -82.534798        0.        0.
      657A        TA           29.585199          -81.866501        0.        0.
      658A        TA           29.422001          -81.257797        0.        0.
      732A        TA           28.729200          -99.970703        0.        0.
      733A        TA           28.719200          -99.293900        0.        0.
      734A        TA           28.847300          -98.557602        0.        0.
      735A        TA           28.855301          -97.808098        0.        0.
      736A        TA           28.955000          -97.067299        0.        0.
      737A        TA           28.763901          -96.440201        0.        0.
      738A        TA           28.840401          -95.648102        0.        0.
