#name network latitude longitude useless depth
292 A -20 140 0 0
293 A -20 150 0 0
294 A -20 160 0 0
295 A -20 170 0 0
296 A -20 180 0 0
297 A -10 -180 0 0
298 A -10 -170 0 0
299 A -10 -160 0 0
300 A -10 -150 0 0
301 A -10 -140 0 0
302 A -10 -130 0 0
303 A -10 -120 0 0
304 A -10 -110 0 0
305 A -10 -100 0 0
306 A -10 -90 0 0
307 A -10 -80 0 0
308 A -10 -70 0 0
309 A -10 -60 0 0
310 A -10 -50 0 0
311 A -10 -40 0 0
312 A -10 -30 0 0
313 A -10 -20 0 0
314 A -10 -10 0 0
315 A -10 0 0 0
316 A -10 10 0 0
317 A -10 20 0 0
318 A -10 30 0 0
319 A -10 40 0 0
320 A -10 50 0 0
321 A -10 60 0 0
322 A -10 70 0 0
323 A -10 80 0 0
324 A -10 90 0 0
325 A -10 100 0 0
326 A -10 110 0 0
327 A -10 120 0 0
328 A -10 130 0 0
329 A -10 140 0 0
330 A -10 150 0 0
331 A -10 160 0 0
332 A -10 170 0 0
333 A -10 180 0 0
334 A 0 -180 0 0
335 A 0 -170 0 0
336 A 0 -160 0 0
337 A 0 -150 0 0
338 A 0 -140 0 0
339 A 0 -130 0 0
340 A 0 -120 0 0
341 A 0 -110 0 0
342 A 0 -100 0 0
343 A 0 -90 0 0
344 A 0 -80 0 0
345 A 0 -70 0 0
346 A 0 -60 0 0
347 A 0 -50 0 0
348 A 0 -40 0 0
349 A 0 -30 0 0
350 A 0 -20 0 0
351 A 0 -10 0 0
352 A 0 0 0 0
353 A 0 10 0 0
354 A 0 20 0 0
355 A 0 30 0 0
356 A 0 40 0 0
357 A 0 50 0 0
358 A 0 60 0 0
359 A 0 70 0 0
360 A 0 80 0 0
361 A 0 90 0 0
362 A 0 100 0 0
363 A 0 110 0 0
364 A 0 120 0 0
365 A 0 130 0 0
366 A 0 140 0 0
367 A 0 150 0 0
368 A 0 160 0 0
369 A 0 170 0 0
370 A 0 180 0 0
371 A 10 -180 0 0
372 A 10 -170 0 0
373 A 10 -160 0 0
374 A 10 -150 0 0
375 A 10 -140 0 0
376 A 10 -130 0 0
377 A 10 -120 0 0
378 A 10 -110 0 0
379 A 10 -100 0 0
380 A 10 -90 0 0
381 A 10 -80 0 0
382 A 10 -70 0 0
383 A 10 -60 0 0
384 A 10 -50 0 0
385 A 10 -40 0 0
386 A 10 -30 0 0
387 A 10 -20 0 0
388 A 10 -10 0 0
389 A 10 0 0 0
390 A 10 10 0 0
391 A 10 20 0 0
392 A 10 30 0 0
393 A 10 40 0 0
394 A 10 50 0 0
395 A 10 60 0 0
396 A 10 70 0 0
397 A 10 80 0 0
398 A 10 90 0 0
399 A 10 100 0 0
400 A 10 110 0 0
401 A 10 120 0 0
402 A 10 130 0 0
403 A 10 140 0 0
404 A 10 150 0 0
405 A 10 160 0 0
406 A 10 170 0 0
407 A 10 180 0 0
408 A 20 -180 0 0
409 A 20 -170 0 0
410 A 20 -160 0 0
411 A 20 -150 0 0
412 A 20 -140 0 0
413 A 20 -130 0 0
414 A 20 -120 0 0
415 A 20 -110 0 0
416 A 20 -100 0 0
417 A 20 -90 0 0
418 A 20 -80 0 0
419 A 20 -70 0 0
420 A 20 -60 0 0
421 A 20 -50 0 0
422 A 20 -40 0 0
423 A 20 -30 0 0
424 A 20 -20 0 0
425 A 20 -10 0 0
426 A 20 0 0 0
427 A 20 10 0 0
428 A 20 20 0 0
429 A 20 30 0 0
430 A 20 40 0 0
431 A 20 50 0 0
432 A 20 60 0 0
433 A 20 70 0 0
434 A 20 80 0 0
435 A 20 90 0 0
436 A 20 100 0 0
437 A 20 110 0 0
438 A 20 120 0 0
439 A 20 130 0 0
440 A 20 140 0 0
441 A 20 150 0 0
442 A 20 160 0 0
443 A 20 170 0 0
444 A 20 180 0 0
445 A 30 -180 0 0
446 A 30 -170 0 0
447 A 30 -160 0 0
448 A 30 -150 0 0
449 A 30 -140 0 0
450 A 30 -130 0 0
451 A 30 -120 0 0
452 A 30 -110 0 0
453 A 30 -100 0 0
454 A 30 -90 0 0
455 A 30 -80 0 0
456 A 30 -70 0 0
457 A 30 -60 0 0
458 A 30 -50 0 0
459 A 30 -40 0 0
460 A 30 -30 0 0
461 A 30 -20 0 0
462 A 30 -10 0 0
463 A 30 0 0 0
464 A 30 10 0 0
465 A 30 20 0 0
466 A 30 30 0 0
467 A 30 40 0 0
468 A 30 50 0 0
469 A 30 60 0 0
470 A 30 70 0 0
471 A 30 80 0 0
472 A 30 90 0 0
473 A 30 100 0 0
474 A 30 110 0 0
475 A 30 120 0 0
476 A 30 130 0 0
477 A 30 140 0 0
478 A 30 150 0 0
479 A 30 160 0 0
480 A 30 170 0 0
481 A 30 180 0 0
482 A 40 -180 0 0
483 A 40 -170 0 0
484 A 40 -160 0 0
485 A 40 -150 0 0
486 A 40 -140 0 0
487 A 40 -130 0 0
488 A 40 -120 0 0
489 A 40 -110 0 0
490 A 40 -100 0 0
491 A 40 -90 0 0
492 A 40 -80 0 0
493 A 40 -70 0 0
494 A 40 -60 0 0
495 A 40 -50 0 0
496 A 40 -40 0 0
497 A 40 -30 0 0
498 A 40 -20 0 0
499 A 40 -10 0 0
500 A 40 0 0 0
501 A 40 10 0 0
502 A 40 20 0 0
503 A 40 30 0 0
504 A 40 40 0 0
505 A 40 50 0 0
506 A 40 60 0 0
507 A 40 70 0 0
508 A 40 80 0 0
509 A 40 90 0 0
510 A 40 100 0 0
511 A 40 110 0 0
512 A 40 120 0 0
513 A 40 130 0 0
514 A 40 140 0 0
515 A 40 150 0 0
516 A 40 160 0 0
517 A 40 170 0 0
518 A 40 180 0 0
519 A 50 -180 0 0
520 A 50 -170 0 0
521 A 50 -160 0 0
522 A 50 -150 0 0
523 A 50 -140 0 0
524 A 50 -130 0 0
525 A 50 -120 0 0
526 A 50 -110 0 0
527 A 50 -100 0 0
528 A 50 -90 0 0
529 A 50 -80 0 0
530 A 50 -70 0 0
531 A 50 -60 0 0
532 A 50 -50 0 0
533 A 50 -40 0 0
534 A 50 -30 0 0
535 A 50 -20 0 0
536 A 50 -10 0 0
537 A 50 0 0 0
538 A 50 10 0 0
539 A 50 20 0 0
540 A 50 30 0 0
541 A 50 40 0 0
542 A 50 50 0 0
543 A 50 60 0 0
544 A 50 70 0 0
545 A 50 80 0 0
546 A 50 90 0 0
547 A 50 100 0 0
548 A 50 110 0 0
549 A 50 120 0 0
550 A 50 130 0 0
551 A 50 140 0 0
552 A 50 150 0 0
553 A 50 160 0 0
554 A 50 170 0 0
555 A 50 180 0 0
556 A 60 -180 0 0
557 A 60 -170 0 0
558 A 60 -160 0 0
559 A 60 -150 0 0
560 A 60 -140 0 0
561 A 60 -130 0 0
562 A 60 -120 0 0
563 A 60 -110 0 0
564 A 60 -100 0 0
565 A 60 -90 0 0
566 A 60 -80 0 0
567 A 60 -70 0 0
568 A 60 -60 0 0
569 A 60 -50 0 0
570 A 60 -40 0 0
571 A 60 -30 0 0
572 A 60 -20 0 0
573 A 60 -10 0 0
574 A 60 0 0 0
575 A 60 10 0 0
576 A 60 20 0 0
577 A 60 30 0 0
578 A 60 40 0 0
579 A 60 50 0 0
580 A 60 60 0 0
581 A 60 70 0 0
582 A 60 80 0 0
583 A 60 90 0 0
584 A 60 100 0 0
585 A 60 110 0 0
586 A 60 120 0 0
587 A 60 130 0 0
588 A 60 140 0 0
589 A 60 150 0 0
590 A 60 160 0 0
591 A 60 170 0 0
592 A 60 180 0 0
593 A 70 -180 0 0
594 A 70 -170 0 0
595 A 70 -160 0 0
596 A 70 -150 0 0
597 A 70 -140 0 0
598 A 70 -130 0 0
599 A 70 -120 0 0
600 A 70 -110 0 0
601 A 70 -100 0 0
602 A 70 -90 0 0
603 A 70 -80 0 0
604 A 70 -70 0 0
605 A 70 -60 0 0
606 A 70 -50 0 0
607 A 70 -40 0 0
608 A 70 -30 0 0
609 A 70 -20 0 0
610 A 70 -10 0 0
611 A 70 0 0 0
612 A 70 10 0 0
613 A 70 20 0 0
614 A 70 30 0 0
615 A 70 40 0 0
616 A 70 50 0 0
617 A 70 60 0 0
618 A 70 70 0 0
619 A 70 80 0 0
620 A 70 90 0 0
621 A 70 100 0 0
622 A 70 110 0 0
623 A 70 120 0 0
624 A 70 130 0 0
625 A 70 140 0 0
626 A 70 150 0 0
627 A 70 160 0 0
628 A 70 170 0 0
629 A 70 180 0 0
630 A 80 -180 0 0
631 A 80 -170 0 0
632 A 80 -160 0 0
633 A 80 -150 0 0
634 A 80 -140 0 0
635 A 80 -130 0 0
636 A 80 -120 0 0
637 A 80 -110 0 0
638 A 80 -100 0 0
639 A 80 -90 0 0
640 A 80 -80 0 0
641 A 80 -70 0 0
642 A 80 -60 0 0
643 A 80 -50 0 0
644 A 80 -40 0 0
645 A 80 -30 0 0
646 A 80 -20 0 0
647 A 80 -10 0 0
648 A 80 0 0 0
649 A 80 10 0 0
650 A 80 20 0 0
651 A 80 30 0 0
652 A 80 40 0 0
653 A 80 50 0 0
654 A 80 60 0 0
655 A 80 70 0 0
656 A 80 80 0 0
657 A 80 90 0 0
658 A 80 100 0 0
659 A 80 110 0 0
660 A 80 120 0 0
661 A 80 130 0 0
662 A 80 140 0 0
663 A 80 150 0 0
664 A 80 160 0 0
665 A 80 170 0 0
666 A 80 180 0 0
667 A 90 0 0 0
