-117.8742    45.0215   84	1.0
-118.1444    44.6832   40	1.2
-119.0272    44.4918   70	1.4
-121.3128    44.3712   63	1.6
-120.9747    44.4090   80	1.2
-119.4132    44.4657   59	1.0
-118.8360    44.3969   77	1.7
-121.4898    44.2739   62	2.9
-119.0243    44.2038   74	1.6
-121.0302    44.2155   89	1.8
-120.6017    44.2147   98	1.8
-121.4094    44.1487   72	1.9
-118.9936    44.1126   70	1.7
-120.6859    44.0531   91	1.4
-118.9693    44.0075   82	1.6
-121.1925    43.9918   74	1.8
-121.0364    43.9060   84	1.4
-120.8862    43.8553   77	1.6
-119.0280    43.7741   91	1.7
-120.5590    43.8359   71	1.5
-120.0227    43.8876   83	1.4
-118.9876    43.6942   98	1.5
-120.2849    43.7174   81	1.4
-119.7092    43.6803   84	1.6
-119.2200    43.6325   88	1.8
-120.1926    43.6793   83	1.5
-120.4413    43.6150   76	1.3
-118.6019    43.5943   65	1.7
-120.0124    43.6405   92	1.5
-119.0249    43.5224   82	1.9
-118.4088    43.5501   80	1.5
-118.1030    43.5225   72	1.6
-119.7632    43.5491   93	2.2
-120.6783    43.5761   77	1.6
-120.1158    43.4987   90	1.5
-119.7032    43.4872   87	1.7
-119.5565    43.4530   86	1.7
-119.0228    43.4335   97	2.0
-120.5613    43.3922   75	1.5
-119.7794    43.3063   93	1.8
-119.3472    43.3887   80	2.0
-119.1891    43.3460   100	1.7
-119.0392    43.2944   90	1.6
-118.2280    43.3061   75	2.0
-117.8938    43.2335   79	2.2
-119.2970    43.2356   90	2.1
-118.8962    43.2469   73	2.1
-119.8539    43.1638   85	2.4
-119.4916    43.2084   87	2.2
-117.3447    43.1553   66	2.1
-118.6543    43.1971   87	2.2
-118.9717    43.1607   78	2.1
-118.5710    43.1287   78	2.1
-117.6529    43.0636   61	2.5
-118.4206    43.1095   66	1.9
-119.4178    43.1186   87	1.9
-118.1635    43.0725   85	1.9
-119.7142    43.0167   91	1.9
-118.6624    42.9911   84	2.1
-117.3023    42.9656   72	2.0
-118.0280    43.0007   77	2.0
-117.8905    42.9250   77	2.3
-119.0437    42.8755   84	2.3
-119.5551    42.8600   91	2.4
-119.1798    42.9194   80	2.3
-118.3349    43.9399   82	2.7
-117.6588    42.8565   77	2.2
-117.1138    42.8138   78	2.2
-117.5739    42.8203   77	2.1
-119.2302    42.7754   80	2.1
-118.6890    42.7373   89	2.1
-117.4078    42.7677   84	2.2
-118.1059    42.8278   74	2.0
-117.1935    42.7169   77	1.8
-117.0653    42.6495   85	1.8
-117.8765    42.6797   73	1.9
-118.9770    42.6329   82	2.2
-117.4629    42.5468   92	1.7
-118.9040    42.5092   79	2.2
-117.6786    42.4165   85	1.7
-119.0261    42.1060   84	2.0
-118.8252    42.9299   80	2.1
-118.5692    43.9104   59	1.6
-116.9814    43.2899   58	1.9
-116.5070    43.1947   81	1.6
-116.6269    42.9170   94	1.9
-116.1330    42.8339   97	1.7
-116.3648    42.6634   97	1.9
-115.9805    42.5466   114	1.4
-116.2882    42.3397   92	1.5
-116.1701    42.3088   108	1.8
-116.6898    42.2936   98	1.7
-118.6611    41.9666   80	1.7
-115.9590    41.9182   100	1.4
-118.6105    41.8261   81	1.6
-116.3243    41.8272   93	1.7
-118.5831    41.6187   83	1.9
-115.9500    44.9210   75	0.9
-116.1400    44.9320   77	1.2
-116.3990    44.9910   61	1.3
-116.6640    45.0450   81	1.1
-116.8360    45.1280   59	1.1
-117.0340    45.1640   62	1.0
-117.3750    45.2500   61	1.2
-117.3590    45.4270   55	2.0
-117.8070    45.5040   40	1.7
-117.6810    45.6400   69	1.7
-117.5480    45.8050   78	1.1
-117.4640    45.9530   64	1.5
-117.3790    46.1220   75	1.2
-117.4990    46.2690   78	1.6
-117.5480    46.3750   81	1.7
-117.1916    45.0090   99	1.0
-117.5060    44.8448   88	1.1
-117.9240    44.5380   40	1.1
-117.3839    46.7240   44	1.9
-118.0727    46.7893   73	1.1
-117.7597    46.9657   65	1.4
-118.4009    45.6604   94	1.2
